iteration,clf__alpha,clf__l1_ratio,clf__n_iter,kbest__percentile,vec__max_df,vec__min_df,vec__ngram_range,vec__sublinear_tf,scores_10_fold_cv
1,7.25E-05,0.336270505,50,82.27301986,0.735947788,3,"(1, 2)",FALSE,0.960482263
2,6.30E-09,0.37843771,30,86.72507878,0.911915655,3,"(1, 1)",FALSE,0.941167238
3,1.30E-06,0.552856014,20,91.44961919,0.879072854,1,"(1, 1)",FALSE,0.944312815
4,8.30E-09,0.67528267,60,79.39928573,0.976892369,1,"(1, 2)",FALSE,0.955767757
5,9.38E-09,0.352865904,40,89.80752129,0.745593469,2,"(1, 2)",FALSE,0.952943426
6,8.72E-09,0.810235899,70,79.0507637,0.957146404,2,"(1, 1)",TRUE,0.942854385
7,4.33E-05,0.313056485,65,68.44141073,0.966724459,2,"(1, 3)",FALSE,0.962019109
8,5.26E-07,0.782247739,25,75.52130623,0.979398074,1,"(1, 3)",FALSE,0.954166132
9,5.40E-06,0.026911938,50,51.31854159,0.944261531,2,"(1, 2)",TRUE,0.96352062
10,1.30E-08,0.667286425,35,72.68888462,0.867803917,2,"(1, 1)",TRUE,0.942747309
11,6.00E-06,0.037013927,70,56.85808957,0.957543511,1,"(1, 1)",TRUE,0.950595544
12,1.04E-06,0.031092397,20,81.42263805,0.854318285,3,"(1, 1)",TRUE,0.941690497
13,1.78E-07,0.827080977,20,81.10788334,0.71394579,2,"(1, 3)",FALSE,0.95269978
14,2.34E-06,0.407279049,75,69.50523096,0.955683462,2,"(1, 3)",FALSE,0.958440918
15,3.49E-09,0.74730903,75,70.50362864,0.723668983,3,"(1, 3)",FALSE,0.953113142
16,3.67E-08,0.817222613,45,52.66612066,0.776523512,2,"(1, 3)",FALSE,0.95192007
17,2.98E-09,0.640332779,25,79.19076039,0.985823147,1,"(1, 2)",TRUE,0.954928741
18,1.77E-06,0.431648571,60,70.21895672,0.796868039,1,"(1, 3)",TRUE,0.962303825
19,4.81E-09,0.174439238,25,92.62207748,0.716809443,1,"(1, 1)",TRUE,0.944409869
20,2.00E-06,0.831178002,25,55.16778985,0.882211362,1,"(1, 2)",FALSE,0.952673621
21,1.89E-05,0.966092931,50,61.95469579,0.801656405,2,"(1, 2)",TRUE,0.948531843
22,1.40E-05,0.173705161,60,97.55932678,0.819121353,1,"(1, 3)",TRUE,0.964280396
23,1.09E-05,0.160940851,55,99.6396914,0.830800061,2,"(1, 2)",TRUE,0.962551031
24,1.49E-07,0.15534782,50,62.81964849,0.91308626,1,"(1, 2)",TRUE,0.955032743
25,2.93E-05,0.244119701,60,63.38874926,0.829487876,2,"(1, 3)",TRUE,0.963562071
26,3.60E-05,0.231586381,60,64.52342375,0.837896727,1,"(1, 3)",TRUE,0.96232593
27,8.55E-05,0.26603164,60,97.39030288,0.766500031,3,"(1, 3)",TRUE,0.961416409
28,1.93E-05,0.099277137,60,59.51420821,0.821786681,2,"(1, 3)",TRUE,0.965174338
29,7.14E-05,0.095928865,35,57.40478807,0.808464811,3,"(1, 3)",TRUE,0.964569978
30,8.58E-05,0.079769563,35,57.95894444,0.755191714,3,"(1, 3)",TRUE,0.96464696
31,9.78E-05,0.082502009,35,60.60907516,0.754552418,3,"(1, 3)",TRUE,0.964262122
32,5.14E-06,0.501371037,30,50.62062871,0.780845284,3,"(1, 3)",TRUE,0.956460339
33,7.57E-08,0.094829903,35,66.14952486,0.900923787,3,"(1, 3)",TRUE,0.953298156
34,1.51E-09,0.541189306,45,58.71239259,0.70510113,3,"(1, 3)",TRUE,0.953342243
35,5.69E-07,0.995931953,40,54.14461341,0.786427085,3,"(1, 3)",TRUE,0.951249139
36,5.12E-05,0.303109251,65,75.45721439,0.732418856,3,"(1, 3)",TRUE,0.962112323
37,8.99E-06,0.375348142,55,66.59135071,0.747162092,2,"(1, 1)",TRUE,0.948902125
38,2.10E-05,0.436066617,30,85.32649996,0.75895024,3,"(1, 3)",TRUE,0.959880984
39,3.32E-06,0.001246726,40,50.0331755,0.851372598,2,"(1, 3)",TRUE,0.963699667
40,7.83E-07,0.605869841,70,59.83310089,0.913424512,2,"(1, 1)",FALSE,0.941311501
41,3.40E-07,0.216400033,35,72.52645011,0.932720521,3,"(1, 3)",TRUE,0.953657914
42,2.21E-08,0.315720585,65,53.73813045,0.876843036,2,"(1, 3)",TRUE,0.954944263
43,3.60E-06,0.904589063,20,55.98861915,0.737436154,3,"(1, 1)",FALSE,0.935760306
44,5.38E-05,0.002390299,75,84.61936567,0.863571102,2,"(1, 2)",TRUE,0.966193245
45,8.17E-06,0.126912795,75,84.58684524,0.895130383,2,"(1, 2)",TRUE,0.96348233
46,2.20E-05,0.040431387,45,88.00781257,0.865056367,2,"(1, 2)",FALSE,0.964732462
47,5.51E-05,0.720430951,75,94.38635093,0.815333035,2,"(1, 2)",TRUE,0.957264642
48,1.03E-06,0.289659876,75,76.79524536,0.92814855,2,"(1, 2)",FALSE,0.956022801
49,2.77E-07,0.009463593,75,89.54887781,0.864557406,2,"(1, 2)",TRUE,0.954640749
50,3.81E-06,0.341685143,70,77.28501265,0.839950961,2,"(1, 2)",TRUE,0.960581679
51,6.91E-08,0.492548998,60,83.0152419,0.997174874,2,"(1, 2)",FALSE,0.952558303
52,1.53E-05,0.205277914,30,71.7837403,0.887683494,2,"(1, 1)",TRUE,0.951490577
53,2.62E-05,0.053658493,55,92.294729,0.846269564,2,"(1, 2)",TRUE,0.964572506
54,1.68E-06,0.124955257,20,80.8156144,0.792516421,2,"(1, 2)",FALSE,0.955421881
55,6.46E-06,0.001201661,50,88.14962315,0.822708325,2,"(1, 1)",TRUE,0.948434712
56,3.95E-05,0.610696455,75,74.22670357,0.929834435,1,"(1, 2)",TRUE,0.958943956
57,2.62E-06,0.414949146,60,67.77857691,0.970564138,2,"(1, 2)",TRUE,0.958765591
58,1.37E-05,0.196891864,25,78.54812716,0.804064937,2,"(1, 1)",FALSE,0.951273948
59,1.27E-06,0.267534435,60,82.36949856,0.772568448,1,"(1, 2)",TRUE,0.963093011
60,1.32E-07,0.459363288,40,95.79267457,0.874368698,2,"(1, 2)",TRUE,0.954347721
61,6.16E-05,0.136860749,75,90.49498036,0.950374462,2,"(1, 1)",TRUE,0.958554761
62,1.25E-09,0.386027216,45,85.74437192,0.901514537,1,"(1, 2)",FALSE,0.954195206
63,4.18E-07,0.049029461,65,74.0714771,0.810218924,2,"(1, 3)",TRUE,0.956760183
64,9.60E-05,0.55189393,70,99.73695299,0.856731235,2,"(1, 3)",TRUE,0.955938466
65,2.30E-07,0.914432124,50,64.88533889,0.83013495,1,"(1, 2)",TRUE,0.95314474
66,3.28E-05,0.037222207,45,88.82927342,0.864236334,2,"(1, 2)",FALSE,0.964748849
67,3.24E-05,0.062668208,45,94.28795636,0.882589674,2,"(1, 2)",FALSE,0.964230749
68,1.09E-05,0.178782219,45,87.0058375,0.841802607,2,"(1, 2)",FALSE,0.962286356
69,6.20E-06,0.109244385,45,80.15754517,0.859104659,2,"(1, 2)",FALSE,0.962254145
70,4.38E-05,0.001999941,55,97.62646004,0.907932196,2,"(1, 2)",FALSE,0.965350838
71,7.37E-05,0.243962709,55,83.78290835,0.940312221,2,"(1, 2)",FALSE,0.961419976
72,4.63E-05,0.08439181,55,97.55787308,0.919127843,2,"(1, 2)",FALSE,0.964124518
73,1.85E-05,0.013371709,55,92.36409351,0.897776802,2,"(1, 2)",FALSE,0.964602545
74,1.13E-05,0.16059216,55,69.03819269,0.982131157,2,"(1, 3)",FALSE,0.963119659
75,9.94E-05,0.068970386,60,71.0115361,0.888516941,2,"(1, 3)",FALSE,0.9634448
76,4.54E-06,0.116119037,25,52.26283464,0.959914791,2,"(1, 2)",FALSE,0.961256945
77,7.44E-07,0.362809291,40,90.77011631,0.909570917,2,"(1, 3)",TRUE,0.954277712
78,1.98E-08,0.707620108,20,95.45580029,0.920364129,1,"(1, 1)",FALSE,0.943789467
79,7.71E-06,0.783229683,30,98.39927493,0.792750684,2,"(1, 2)",TRUE,0.950834485
80,2.58E-05,0.261809553,75,76.9233265,0.825215397,2,"(1, 3)",TRUE,0.963046521
81,2.35E-06,0.148420942,55,86.4895277,0.996759491,2,"(1, 2)",FALSE,0.961301045
82,1.83E-05,0.026078056,65,62.05126831,0.907927187,3,"(1, 2)",TRUE,0.963674456
